Countries and areas,Under-5 mortality rate (U5MR) 1990,Under-5 mortality rate (U5MR) 2011,U5MR male 2011,U5MR female 2011,Infant mortality rate (under 1) 1990,Infant mortality rate (under 1) 2011,Neonatal  mortality  rate 2011,Total population (thousands) 2011,Annual no. of births (thousands) 2011
Palau,32.3,18.6,23.3,13.7,27,14.3,9.2,20.609,_
Panama,33.3,19.5,21.2,17.7,26,16.7,8.9,3571.185,69.81
Papua New Guinea,88,57.8,60.4,55,64.3,44.8,22.6,7013.829,208.495
Paraguay,52.6,22.4,24.5,20.2,41.3,19.1,12.8,6568.29,157.651
Peru,75.1,18.1,19.5,16.7,53.6,14.1,9.2,29399.817,590.552
Philippines,57,25.4,28.8,21.8,40.2,20.2,12.2,94852.03,2357.583
Poland,17.3,5.8,6.2,5.3,15.1,4.9,3.5,38298.949,410.471
Portugal,14.6,3.4,3.7,3.1,11.4,2.7,1.8,10689.663,96.501
Qatar,20.2,7.7,8.2,7.2,16.5,6.4,4,1870.041,21.315
Republic of Korea,7.5,4.8,5.1,4.4,6.4,4.1,2.1,48391.343,479.395
Republic of Moldova,34.9,16,17.4,14.5,28.7,13.8,7.7,3544.864,43.549
Romania,37.4,12.5,13.9,11,30.6,10.8,7.5,21436.495,220.534
Russian Federation,27.3,11.9,13.3,10.4,23,9.8,6.5,142835.555,1688.954
Rwanda,156.3,54.1,57,51.2,95,38.1,21.1,10942.95,449.233
Saint Kitts and Nevis,28.3,7.4,8.4,6.4,22.1,6.1,5.1,53.051,_
Saint Lucia,22.5,15.6,17.4,13.8,17.9,13.8,9.4,176.044,3.053
Saint Vincent and the Grenadines,26.5,20.9,22.7,19,21.2,19.5,13.2,109.365,1.836
Samoa,29.5,18.7,20.9,16.3,24.6,16,7.7,183.874,4.457
San Marino,11.9,1.8,1.8,1.8,10.6,1.6,0.7,31.735,_
Sao Tome and Principe,96,88.8,91.9,85.6,62.2,58.2,29.3,168.526,5.189
